

"0089  MATERIAIS MDW LTDA
CNPJ: 48.386.085/0001-14
";"15/01/2026 15:01 Pág:0001"
"Período: 01/01/2025 a 31/12/2025"
"Balancete – Societário"
"Usuário: JANAINA"


"BALANCETE";"Valores expressos em Reais (R$)"

"Conta";"S";"Classificação";"Saldo Ant.";"Débito";"Crédito";"Saldo"
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";6409;;"1.1.08.001.022   Cadernos e materiais escolares";517.318,91;;673.129,02;607.833,54;582.614,39;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";590;"S";"1.2   NÃO CIRCULANTE";12.869,93;;9.481,20;669,86;21.681,27;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";969;"S";"1.2.03   INVESTIMENTOS";1.350,00;;350,00;0,00;1.700,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";990;"S";"1.2.03.001   PARTICIPAÇÃO OUTRAS SOCIEDADES";1.350,00;;350,00;0,00;1.700,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4864;;"1.2.03.001.001   Quotas de Capital SICRED/JP";1.350,00;;350,00;0,00;1.700,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1049;"S";"1.2.05   IMOBILIZADO";11.519,93;;9.131,20;669,86;19.981,27;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1074;"S";"1.2.05.003   BENS EM OPERAÇÃO";13.768,70;;9.131,20;0,00;22.899,90;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1080;;"1.2.05.003.006   Computadores e Perifericos";3.728,70;;9.131,20;0,00;12.859,90;


"0089  MATERIAIS MDW LTDA
CNPJ: 48.386.085/0001-14
";"15/01/2026 15:01 Pág:0002"
"Período: 01/01/2025 a 31/12/2025"
"Balancete – Societário"
"Usuário: JANAINA"


"BALANCETE";"Valores expressos em Reais (R$)"

"Conta";"S";"Classificação";"Saldo Ant.";"Débito";"Crédito";"Saldo"
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1087;;"1.2.05.003.013   Móveis e Utensílios";10.040,00;;0,00;0,00;10.040,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1136;"S";"1.2.05.007   (-) DEPRECIAÇÃO/AMORTIZAÇÃO/EXAUSTÃO ACUMULADA";(2.248,77);;0,00;669,86;(2.918,63);
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1144;;"1.2.05.007.008   (-) Deprec. Computadores e Perifericos";(1.553,62);;0,00;418,86;(1.972,48);
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1151;;"1.2.05.007.015   (-) Deprec. Móveis e Utensílios";(695,15);;0,00;251,00;(946,15);


"0089  MATERIAIS MDW LTDA
CNPJ: 48.386.085/0001-14
";"15/01/2026 15:01 Pág:0003"
"Período: 01/01/2025 a 31/12/2025"
"Balancete – Societário"
"Usuário: JANAINA"


"BALANCETE";"Valores expressos em Reais (R$)"

"Conta";"S";"Classificação";"Saldo Ant.";"Débito";"Crédito";"Saldo"
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1350;"S";"2   PASSIVO";899.070,21;;2.186.550,25;2.810.986,64;1.523.506,60;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1351;"S";"2.1   CIRCULANTE";519.410,42;;1.466.550,25;2.447.763,49;1.500.623,66;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1352;"S";"2.1.01   INSTITUIÇÕES FINANCEIRAS";17.404,47;;17.404,47;0,00;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1353;"S";"2.1.01.001   EMPRÉSTIMOS";17.404,47;;17.404,47;0,00;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";6403;;"2.1.01.001.030   Vitor Nuto Leite França";17.404,47;;17.404,47;0,00;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1494;"S";"2.1.03   FORNECEDORES";151.900,51;;339.816,73;1.114.624,32;926.708,10;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1495;"S";"2.1.03.001   FORNECEDORES NACIONAIS";151.900,51;;339.816,73;1.114.624,32;926.708,10;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";7011;;"2.1.03.001.029   53.597.014 Mara Isa de Aquino";0,00;;15.792,00;15.792,00;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4975;;"2.1.03.001.029   AÇÃO CONTÁBIL S/S LTDA";1.412,00;;16.520,00;15.108,00;0,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";7825;;"2.1.03.001.029   Arcatex Industria e Servico de";0,00;;20.160,00;20.160,00;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";8921;;"2.1.03.001.029   Espaço Ação Contabilidade Ltda";0,00;;0,00;17.358,00;17.358,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";7221;;"2.1.03.001.029   Fernando Fardamentos";0,00;;0,00;19.800,00;19.800,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";8924;;"2.1.03.001.029   Grupo Selta Educação S/A";0,00;;0,00;21.901,15;21.901,15;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";7126;;"2.1.03.001.029   KLK Industria e Comercio de Confecções";0,00;;10.692,20;10.692,20;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";8922;;"2.1.03.001.029   LAHAM INDUSTRIA DO VESTUARIO LTDA";0,00;;0,00;95.450,00;95.450,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";8127;;"2.1.03.001.029   Mms do Brasil Ltda";0,00;;509,70;509,70;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";7796;;"2.1.03.001.029   Rapido Textil Ltda";3.150,00;;3.150,00;0,00;0,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";7070;;"2.1.03.001.029   Unidentis Assistência Odontológica LTDA";0,00;;91,00;143,00;52,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";5077;;"2.1.03.001.073   Magazine Luiza S/A";0,00;;8.367,30;9.131,20;763,90;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";5107;;"2.1.03.001.096   Qualitech Comercio e Serviços de Informatica LTDA";0,00;;173,00;173,00;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";5280;;"2.1.03.001.189   Somos Sistemas de Ensino S.A";131.694,17;;177.447,78;603.013,66;557.260,05;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";5298;;"2.1.03.001.204   Softcom Tecnologia Ltda ME";0,00;;2.234,61;8.008,61;5.774,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";6228;;"2.1.03.001.679   Edmar Alexandre Saraiva Junior 31642280828";0,00;;32.594,80;32.594,80;0,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";6404;;"2.1.03.001.820   Chrys Uchoa Vilhena EIRELI";15.644,34;;23.924,34;83.815,00;75.535,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";6405;;"2.1.03.001.821   ATOCSIGN SERVIÇOS E SOLUÇOES DIGITAIS LTDA";0,00;;0,00;189,00;189,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";6411;;"2.1.03.001.825   Somesso Soc médico em segurança e saúde ocupaciona";0,00;;0,00;45,00;45,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";6421;;"2.1.03.001.832   R REZENDE SERVIÇOS EIRELI";0,00;;0,00;680,00;680,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";6458;;"2.1.03.001.852   Joucier Araujo Silva";0,00;;0,00;500,00;500,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";6506;;"2.1.03.001.890   Sofia Leite Lucena de Avelar Caldas";0,00;;28.160,00;159.560,00;131.400,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1539;"S";"2.1.05   OBRIGAÇÕES TRIBUTÁRIAS";1.907,58;;53.865,27;55.927,12;3.969,43;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1540;"S";"2.1.05.001   IMPOSTOS E CONTRIBUIÇÕES A RECOLHER";1.907,58;;53.865,27;55.927,12;3.969,43;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1552;;"2.1.05.001.001   COFINS a Recolher";497,35;;3.776,95;3.279,60;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1553;;"2.1.05.001.001   CSLL a Recolher";281,74;;10.124,14;11.304,61;1.462,21;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1541;;"2.1.05.001.001   ICMS a Recolher";707,68;;27.215,06;27.370,95;863,57;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1545;;"2.1.05.001.001   IRPJ a Recolher";313,05;;11.930,78;13.261,38;1.643,65;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4954;;"2.1.05.001.002   Pis a Recolher";107,76;;818,34;710,58;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1632;"S";"2.1.07   OBRIGAÇÕES TRABALHISTAS E PREVIDENCIÁRIAS";830,20;;8.126,10;57.550,90;50.255,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1633;"S";"2.1.07.001   OBRIGAÇÕES COM O PESSOAL";0,00;;0,00;30.116,95;30.116,95;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1634;;"2.1.07.001.001   Salários e Ordenados a Pagar";0,00;;0,00;18.461,12;18.461,12;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4868;;"2.1.07.001.005   Férias a Pagar";0,00;;0,00;788,67;788,67;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4897;;"2.1.07.001.006   Rescisões a Pagar";0,00;;0,00;10.867,16;10.867,16;
"                                                                                                                                                                                                                                                "


"0089  MATERIAIS MDW LTDA
CNPJ: 48.386.085/0001-14
";"15/01/2026 15:01 Pág:0004"
"Período: 01/01/2025 a 31/12/2025"
"Balancete – Societário"
"Usuário: JANAINA"


"BALANCETE";"Valores expressos em Reais (R$)"

"Conta";"S";"Classificação";"Saldo Ant.";"Débito";"Crédito";"Saldo"
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1658;"S";"2.1.07.003   OBRIGAÇÕES TRABALHISTAS";830,20;;0,00;13.696,95;14.527,15;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1659;;"2.1.07.003.001   INSS a Recolher";648,99;;0,00;10.512,27;11.161,26;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1660;;"2.1.07.003.002   FGTS a Recolher";181,21;;0,00;1.438,13;1.619,34;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1661;;"2.1.07.003.003   Contribuição Sindical a Recolher";0,00;;0,00;112,00;112,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";8925;;"2.1.07.003.006   FGTS Multa Rescisória";0,00;;0,00;1.634,55;1.634,55;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1683;"S";"2.1.07.005   PROVISÕES";0,00;;8.126,10;13.737,00;5.610,90;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1684;;"2.1.07.005.001   Provisão Para Férias";0,00;;3.904,59;5.542,36;1.637,77;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1685;;"2.1.07.005.002   Provisão Inss Sobre Férias";0,00;;1.040,56;1.480,91;440,35;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1686;;"2.1.07.005.003   Provisão Fgts Sobre Férias";0,00;;310,61;443,37;132,76;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1688;;"2.1.07.005.005   Provisão Para 13o Salário";0,00;;2.129,39;4.651,71;2.522,32;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1689;;"2.1.07.005.006   Provisão Inss Sobre 13o Salário";0,00;;570,66;1.246,61;675,95;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1690;;"2.1.07.005.007   Provisão Fgts Sobre 13o Salário";0,00;;170,29;372,04;201,75;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1710;"S";"2.1.09   OUTRAS OBRIGAÇÕES";347.367,66;;1.047.337,68;1.219.661,15;519.691,13;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1711;"S";"2.1.09.001   ADIANTAMENTOS DE CLIENTES";347.367,66;;1.046.474,64;1.218.798,11;519.691,13;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1712;;"2.1.09.001.001   Adiantamentos de Clientes Diversos";347.367,66;;1.046.474,64;1.218.798,11;519.691,13;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1733;"S";"2.1.09.003   CONTAS A PAGAR";0,00;;863,04;863,04;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1737;;"2.1.09.003.004   Cartão de Crédito a Pagar";0,00;;863,04;863,04;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";1920;"S";"2.2   NÃO CIRCULANTE";0,00;;360.000,00;360.000,00;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";1921;"S";"2.2.01   OBRIGAÇÕES A LONGO PRAZO";0,00;;360.000,00;360.000,00;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";6519;"S";"2.2.01.008   Dividendos a Pagar";0,00;;360.000,00;360.000,00;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";6520;;"2.2.01.008.001   Sócio Julio Cesar Sousa de Lucena";0,00;;90.000,00;90.000,00;0,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";6521;;"2.2.01.008.002   Sócio Vitor Nuto Leite Franca";0,00;;90.000,00;90.000,00;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";6522;;"2.2.01.008.003   Sócio Matheus Cartaxo Eloy Fialho";0,00;;90.000,00;90.000,00;0,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";6783;;"2.2.01.008.004   Sócio Ronaebson de Carvalho Ferreira";0,00;;90.000,00;90.000,00;0,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2325;"S";"2.4   PATRIMÔNIO LÍQUIDO";379.659,79;;360.000,00;3.223,15;22.882,94;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2346;"S";"2.4.01   CAPITAL SOCIAL";20.000,00;;0,00;0,00;20.000,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2347;"S";"2.4.01.001   CAPITAL SUBSCRITO";20.000,00;;0,00;0,00;20.000,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2348;;"2.4.01.001.001   Capital Social";20.000,00;;0,00;0,00;20.000,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2513;"S";"2.4.13   LUCROS E PREJUÍZOS ACUMULADOS";359.659,79;;360.000,00;3.223,15;2.882,94;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2514;"S";"2.4.13.001   LUCROS E PREJUÍZOS ACUMULADOS";359.659,79;;360.000,00;3.223,15;2.882,94;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2515;;"2.4.13.001.001   Lucros Acumulados";359.659,79;;360.000,00;3.223,15;2.882,94;


"0089  MATERIAIS MDW LTDA
CNPJ: 48.386.085/0001-14
";"15/01/2026 15:01 Pág:0005"
"Período: 01/01/2025 a 31/12/2025"
"Balancete – Societário"
"Usuário: JANAINA"


"BALANCETE";"Valores expressos em Reais (R$)"

"Conta";"S";"Classificação";"Saldo Ant.";"Débito";"Crédito";"Saldo"
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2600;"S";"3   RESULTADO DO PERÍODO";0,00;;1.889.231,17;2.121.927,20;(232.696,03);
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2601;"S";"3.1   RECEITAS OPERACIONAIS";0,00;;1.104.344,47;2.120.782,39;(1.016.437,92);
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2602;"S";"3.1.01   RECEITA BRUTA DE VENDAS E SERVIÇOS";0,00;;1.046.954,21;2.093.908,42;(1.046.954,21);
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2652;"S";"3.1.01.003   VENDAS DE MERCADORIAS";0,00;;1.046.954,21;2.093.908,42;(1.046.954,21);
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2653;"S";"3.1.01.003.001   VENDAS MERCADO INTERNO";0,00;;1.046.954,21;2.093.908,42;(1.046.954,21);
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2655;;"3.1.01.003.001.002   Vendas de Mercadorias a Prazo";0,00;;1.046.954,21;1.046.954,21;0,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";6529;;"3.1.01.003.001.006   Vendas de fardamentos";0,00;;0,00;136.882,02;(136.882,02);
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";6530;;"3.1.01.003.001.007   Vendas de cadernos e materiais escolares";0,00;;0,00;910.072,19;(910.072,19);
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2770;"S";"3.1.03   (-) DEDUÇÕES DA RECEITA BRUTA";0,00;;57.390,26;731,57;56.658,69;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2771;"S";"3.1.03.001   (-) CANCELAMENTOS E DEVOLUÇÕES";0,00;;1.463,14;731,57;731,57;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2774;;"3.1.03.001.003   (-) De Vendas de Mercadorias Mercado Interno";0,00;;731,57;731,57;0,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";7807;;"3.1.03.001.011   (-) De Vendas de cadernos e materiais escolares";0,00;;731,57;0,00;731,57;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2825;"S";"3.1.03.005   (-) IMPOSTOS INCIDENTES SOBRE VENDAS";0,00;;55.927,12;0,00;55.927,12;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2827;;"3.1.03.005.002   (-) ICMS";0,00;;27.370,95;0,00;27.370,95;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2829;;"3.1.03.005.004   (-) PIS";0,00;;710,58;0,00;710,58;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2830;;"3.1.03.005.005   (-) COFINS";0,00;;3.279,60;0,00;3.279,60;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";3060;;"3.1.03.005.011   (-) IRPJ sobre Lucro Presumido";0,00;;13.261,38;0,00;13.261,38;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";3061;;"3.1.03.005.012   (-) CSLL sobre Lucro Presumido";0,00;;11.304,61;0,00;11.304,61;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2856;"S";"3.1.05   OUTRAS RECEITAS OPERACIONAIS";0,00;;0,00;26.142,40;(26.142,40);
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2857;"S";"3.1.05.001   RECEITAS FINANCEIRAS";0,00;;0,00;22.053,71;(22.053,71);
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2861;;"3.1.05.001.004   Rendimento de Aplicação Financeira";0,00;;0,00;22.053,71;(22.053,71);
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";2884;"S";"3.1.05.003   RECEITAS OPERACIONAIS DIVERSAS";0,00;;0,00;4.088,69;(4.088,69);
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";2893;;"3.1.05.003.009   Distribuição de Sobras";0,00;;0,00;4.088,69;(4.088,69);
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";3001;"S";"3.2   CUSTO PRODUTOS MERCADORIAS E SERVIÇOS";0,00;;683.880,78;0,00;683.880,78;
"                                                                                                                                                                                                                                                "
